City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date 
skalica,48.84,17.23,63.0,100,72,7.76,SK,1592773482
carnarvon,-24.87,113.63,55.4,87,0,4.7,AU,1592773483
tuktoyaktuk,69.45,-133.04,44.6,81,90,8.05,CA,1592773484
iberia,29.95,-91.75,87.8,66,1,16.11,US,1592773485
tautira,-17.73,-149.15,82.4,69,40,4.7,PF,1592773487
formosa,-26.18,-58.18,89.6,46,50,6.93,AR,1592773488
richards bay,-28.78,32.04,62.29,65,0,6.85,ZA,1592773490
bardiyah,31.76,25.09,70.92,78,0,16.44,LY,1592773492
longyearbyen,78.22,15.64,41.0,75,40,3.36,SJ,1592773212
drezdenko,52.84,15.83,63.0,94,100,1.99,PL,1592773496
atyrau,47.12,51.88,80.6,19,31,6.71,KZ,1592773497
katsuura,35.13,140.3,70.0,94,75,16.11,JP,1592773498
rantepao,-2.97,119.9,65.46,90,66,1.28,ID,1592773501
voznesenskaya,44.55,41.03,61.45,85,96,3.29,RU,1592773502
san miguelito,9.03,-79.5,86.0,74,40,6.93,PA,1592773503
vila velha,-20.33,-40.29,77.0,73,0,12.75,BR,1592773504
port augusta,-32.5,137.77,48.2,87,19,6.93,AU,1592773505
bereda,43.27,-7.54,63.0,95,17,1.99,ES,1592773506
jibuti,11.5,42.5,98.6,37,1,3.36,DJ,1592773326
luohe,33.57,114.04,73.2,80,100,6.69,CN,1592773508
cabedelo,-6.98,-34.83,77.0,88,40,8.05,BR,1592773509
miandrivazo,-19.52,45.47,67.91,84,11,1.97,MG,1592773510
calama,-22.47,-68.93,69.8,7,0,20.8,CL,1592773512
arraial do cabo,-22.97,-42.03,77.0,73,0,8.05,BR,1592773513
oistins,13.07,-59.53,86.0,70,40,23.04,BB,1592773505
muravlenko,63.79,74.52,44.83,71,9,6.13,RU,1592773516
kruisfontein,-34.0,24.73,53.73,84,0,6.15,ZA,1592773517
kamenka,51.32,42.77,64.99,86,50,8.01,RU,1592773518
butaritari,3.07,172.79,83.5,79,39,14.97,KI,1592773519
nabire,-3.37,135.48,74.91,87,11,4.03,ID,1592773520
broken hill,-31.95,141.43,48.2,81,75,14.99,AU,1592773521
saldanha,-33.01,17.94,55.4,93,1,3.36,ZA,1592773522
lake city,30.19,-82.64,91.99,40,1,6.93,US,1592773524
bumba,2.18,22.47,75.0,76,29,2.48,CD,1592773525
kashan,33.98,51.44,82.6,15,0,6.76,IR,1592773526
port hardy,50.7,-127.42,59.0,82,75,6.93,CA,1592773527
ust-tsilma,65.44,52.15,39.49,76,83,6.78,RU,1592773528
berlevag,70.86,29.09,42.8,81,40,8.05,NO,1592773384
pemba,-12.97,40.52,73.4,83,75,12.75,MZ,1592773353
tairua,-37.02,175.85,60.01,73,59,1.99,NZ,1592773531
goderich,43.75,-81.72,87.01,60,81,5.19,CA,1592773532
magnolia,33.27,-93.24,87.8,62,75,6.93,US,1592773316
kourou,5.16,-52.65,86.0,70,20,11.41,GF,1592773534
saint-augustin,51.23,-58.65,60.51,58,100,19.35,CA,1592773535
lata,40.16,-8.33,66.0,83,4,5.01,PT,1592773537
tura,25.52,90.22,74.26,96,26,5.82,IN,1592773538
faanui,-16.48,-151.75,78.1,82,98,21.7,PF,1592773539
bonnyville,54.27,-110.73,62.6,51,40,3.36,CA,1592773540
hermanus,-34.42,19.23,57.0,89,67,4.38,ZA,1592773541
tahoua,14.89,5.27,93.2,32,38,4.7,NE,1592773542
puerto carreno,6.19,-67.49,87.8,62,40,3.36,CO,1592773543
chuy,-33.7,-53.46,58.93,95,64,5.06,UY,1592773521
kalmunai,7.42,81.82,82.94,70,100,7.0,LK,1592773266
sept-iles,50.2,-66.38,57.99,71,90,12.75,CA,1592773547
te anau,-45.42,167.72,36.64,82,19,1.25,NZ,1592773548
half moon bay,37.46,-122.43,81.0,93,90,12.75,US,1592773550
saint-pierre,-21.34,55.48,66.2,82,20,4.7,RE,1592773551
pacific grove,36.62,-121.92,73.0,72,1,12.75,US,1592773340
sao filipe,14.9,-24.5,76.69,82,1,13.69,CV,1592773553
talnakh,69.49,88.4,48.2,70,0,6.71,RU,1592773554
kopavogur,64.11,-21.91,62.6,48,89,16.11,IS,1592773555
lamu,-2.27,40.9,78.55,79,63,19.86,KE,1592773556
pangody,65.85,74.49,44.56,83,9,11.01,RU,1592773557
neuquen,-38.95,-68.06,55.4,43,99,4.7,AR,1592773559
prince albert,53.2,-105.77,60.8,48,75,3.36,CA,1592773560
deder,9.32,41.45,61.54,79,49,5.12,ET,1592773562
fortuna,40.6,-124.16,63.0,87,75,10.29,US,1592773563
gongzhuling,43.5,124.82,67.28,93,100,6.38,CN,1592773507
kloulklubed,7.04,134.26,78.8,94,75,3.36,PW,1592773565
gamba,-2.65,10.0,71.94,93,0,5.01,GA,1592773567
sambava,-14.27,50.17,72.95,90,64,14.36,MG,1592773568
san luis,-33.3,-66.34,54.12,37,87,16.13,AR,1592773569
labuhan,-6.88,112.21,77.54,87,100,4.47,ID,1592773571
lasa,46.62,10.7,55.4,71,40,3.36,IT,1592773568
astana,51.18,71.45,51.8,57,0,6.71,KZ,1592773573
mahebourg,-20.41,57.7,71.6,78,40,14.99,MU,1592773533
nome,64.5,-165.41,66.0,72,1,10.29,US,1592773576
paka,4.64,103.44,77.0,94,46,1.12,MY,1592773577
krasnovishersk,60.41,57.08,46.6,78,100,6.71,RU,1592773578
katsina,12.99,7.6,92.84,27,68,8.52,NG,1592773579
innisfail,-17.53,146.03,65.97,90,40,5.99,AU,1592773474
apucarana,-23.55,-51.46,84.2,32,20,6.93,BR,1592773581
caltanissetta,37.37,14.06,66.99,100,83,1.99,IT,1592773582
bukama,-9.2,25.85,65.71,40,0,2.35,CD,1592773583
abalak,58.13,68.59,40.28,98,0,5.55,RU,1592773584
bagn,60.82,9.55,62.01,96,100,1.01,NO,1592773585
phonhong,18.5,102.42,77.07,89,80,1.83,LA,1592773586
north bend,43.41,-124.22,66.99,77,90,19.46,US,1592773505
koutiala,12.39,-5.46,90.37,39,60,7.52,ML,1592773589
saint-philippe,-21.36,55.77,66.2,82,20,4.7,RE,1592773590
karakol,42.49,78.39,54.72,33,0,4.5,KG,1592773591
ulaanbaatar,47.91,106.88,55.4,87,75,1.83,MN,1592773322
klaksvik,62.23,-6.59,51.8,100,100,12.75,FO,1592773594
airai,-8.93,125.41,55.44,100,75,3.56,TL,1592773596
itarema,-2.92,-39.92,79.32,75,11,12.24,BR,1592773597
yarada,17.65,83.27,82.4,83,75,5.82,IN,1592773598
east london,-33.02,27.91,63.59,64,0,13.4,ZA,1592773371
san patricio,19.22,-104.7,84.2,74,75,9.17,MX,1592773601
illapel,-31.63,-71.17,62.17,53,100,0.87,CL,1592773602
luanda,-8.84,13.23,73.4,83,40,5.82,AO,1592773603
sfantu gheorghe,45.87,25.78,61.0,90,81,3.91,RO,1592773604
almeirim,-1.52,-52.58,79.23,88,57,4.25,BR,1592773416
leningradskiy,69.38,178.42,50.61,63,0,2.42,RU,1592773545
talcahuano,-36.72,-73.12,53.6,87,75,4.7,CL,1592773540
mancio lima,-7.61,-72.9,81.1,81,73,3.76,BR,1592773589
mount isa,-20.73,139.5,51.8,48,0,17.22,AU,1592773609
vaitape,-16.52,-151.75,78.93,80,95,21.68,PF,1592773593
strabychovo,48.39,22.54,64.0,96,100,1.01,UA,1592773612
maryborough,-25.53,152.7,61.0,89,100,5.99,AU,1592773613
arambagh,22.88,87.78,80.91,87,14,7.2,IN,1592773614
codrington,-38.27,141.97,45.34,94,91,3.33,AU,1592773615
dillon,34.42,-79.37,90.0,88,90,9.17,US,1592773616
mao,39.89,4.27,69.8,68,0,4.7,ES,1592773617
khuzhir,53.19,107.34,51.15,59,15,3.65,RU,1592773619
kupang,-10.17,123.58,76.42,79,36,13.4,ID,1592773594
lavrentiya,65.58,-171.0,56.17,44,9,5.79,RU,1592773621
ranchi,23.35,85.33,75.2,100,90,4.7,IN,1592773623
manaus,-3.1,-60.02,89.6,62,40,4.7,BR,1592773624
vila franca do campo,37.72,-25.43,68.0,82,75,8.05,PT,1592773625
pirapemas,-3.73,-44.22,77.65,73,0,3.18,BR,1592773626
kailua,21.4,-157.74,84.2,61,75,9.17,US,1592773518
saint george,37.1,-113.58,100.0,11,1,5.82,US,1592773560
hudiksvall,61.73,17.1,53.89,93,13,1.05,SE,1592773629
beringovskiy,63.05,179.32,51.21,48,0,4.81,RU,1592773528
batsfjord,70.63,29.72,44.6,87,20,3.36,NO,1592773631
sitka,57.05,-135.33,53.6,71,90,3.36,US,1592773632
novaya igirma,57.13,103.91,56.84,80,44,3.09,RU,1592773633
catamarca,-28.47,-65.79,71.01,70,25,3.24,AR,1592773503
beloha,-25.17,45.05,66.97,86,99,2.66,MG,1592773636
chokurdakh,70.63,147.92,76.32,37,0,11.01,RU,1592773637
coquimbo,-29.95,-71.34,60.8,72,3,11.41,CL,1592773638
hami,42.8,93.45,69.17,23,35,7.63,CN,1592773639
tavricheskoye,54.59,73.64,57.2,82,75,4.47,RU,1592773640
stornoway,58.21,-6.39,55.4,82,46,10.29,GB,1592773641
alihe,50.57,123.72,49.46,92,16,2.15,CN,1592773507
vardo,70.37,31.11,44.6,87,20,3.36,NO,1592773643
flagstaff,35.2,-111.65,88.0,13,1,6.93,US,1592773383
nanortalik,60.14,-45.24,45.1,70,100,11.99,GL,1592773645
dunda,-8.12,34.25,59.36,67,20,3.29,TZ,1592773647
road town,18.42,-64.62,87.8,70,20,10.29,VG,1592773600
bethel,41.37,-73.41,90.0,48,20,8.05,US,1592773649
dwarka,22.24,68.97,86.13,74,95,15.52,IN,1592773650
along,28.17,94.77,72.41,89,55,0.56,IN,1592773651
norrtalje,59.76,18.7,62.6,51,0,6.93,SE,1592773652
tarauaca,-8.16,-70.77,86.41,58,17,3.67,BR,1592773653
burla,21.5,83.87,78.17,83,90,11.21,IN,1592773654
ekhabi,53.51,142.97,41.22,92,100,9.24,RU,1592773568
grindavik,63.84,-22.43,59.0,62,99,25.28,IS,1592773656
honningsvag,70.98,25.97,48.2,70,20,8.05,NO,1592773658
villa florida,-26.38,-57.15,75.99,68,0,3.94,PY,1592773659
mahudha,22.82,72.93,84.2,79,75,11.41,IN,1592773660
sola,-13.88,167.55,81.09,84,52,18.59,VU,1592773661
lorengau,-2.02,147.27,80.98,77,9,2.35,PG,1592773663
severo-kurilsk,50.68,156.12,46.45,83,83,6.44,RU,1592773598
san andres,12.58,-81.7,80.6,88,90,12.75,CO,1592773665
aykhal,66.0,111.5,66.2,48,20,6.71,RU,1592773666
suntar,62.14,117.63,63.3,80,63,0.83,RU,1592773668
new norfolk,-42.78,147.06,53.01,93,100,1.01,AU,1592773518
szydlowiec,51.23,20.86,64.0,83,100,3.0,PL,1592773670
port lincoln,-34.73,135.87,54.5,80,14,13.71,AU,1592773562
san isidro,-12.12,-77.05,66.2,72,75,9.17,PE,1592773672
acapulco,16.86,-99.89,89.6,62,75,6.93,MX,1592773673
adre,13.47,22.2,81.28,37,0,3.6,TD,1592773674
san jose,37.34,-121.89,84.99,44,75,11.41,US,1592773500
sidi ali,36.1,0.42,77.09,43,0,5.06,DZ,1592773676
omboue,-1.57,9.26,72.97,89,35,8.19,GA,1592773678
dossor,47.53,52.98,84.78,25,32,11.5,KZ,1592773679
lazaro cardenas,17.96,-102.2,89.55,54,71,10.65,MX,1592773681
kholtoson,50.3,103.31,51.4,89,100,2.1,RU,1592773682
zhigansk,66.77,123.37,63.93,77,1,12.33,RU,1592773683
zyryanka,65.75,150.85,79.79,31,0,14.38,RU,1592773684
vavuniya,8.75,80.5,81.54,64,100,8.01,LK,1592773685
lagoa,39.05,-27.98,66.07,86,0,18.25,PT,1592773686
butajira,8.12,38.37,60.8,74,14,2.62,ET,1592773687
hasaki,35.73,140.83,66.2,100,75,10.29,JP,1592773688
jumla,29.27,82.18,60.04,70,92,1.61,NP,1592773689
sakakah,29.97,40.21,82.4,21,0,3.36,SA,1592773571
ahipara,-35.17,173.17,58.86,83,20,8.52,NZ,1592773691
barranco de loba,8.95,-74.11,90.39,63,63,5.23,CO,1592773693
shelburne,44.08,-80.2,87.8,43,20,18.34,CA,1592773695
taunggyi,20.78,97.03,62.08,100,45,3.24,MM,1592773696
ulladulla,-35.35,150.47,48.0,81,38,10.29,AU,1592773697
thanh hoa,19.8,105.77,82.56,74,84,5.53,VN,1592773698
altar,30.7,-111.82,100.99,28,0,1.99,MX,1592773699
launceston,-41.45,147.17,46.99,100,90,2.71,AU,1592773700
pekan,3.48,103.4,78.8,94,20,2.24,MY,1592773701
mahon,39.89,4.27,69.8,68,0,4.7,ES,1592773702
strzelce opolskie,50.51,18.3,61.0,99,99,1.99,PL,1592773703
roma,43.21,-75.46,87.8,40,20,8.05,US,1592773423
samarai,-10.62,150.67,79.34,86,12,10.04,PG,1592773705
yueyang,29.33,113.09,72.14,97,100,4.16,CN,1592773707
yurginskoye,56.82,67.39,40.68,91,0,4.41,RU,1592773708
alofi,-19.06,-169.92,77.65,82,60,22.88,NU,1592773709
bac lieu,9.29,105.72,81.1,79,97,3.94,VN,1592773513
yaring,6.87,101.37,78.44,85,100,5.23,TH,1592773711
araouane,18.9,-3.53,101.19,8,0,4.99,ML,1592773712
kavaratti,10.57,72.64,83.57,77,100,14.52,IN,1592773713
buchanan,5.88,-10.05,77.49,89,100,7.9,LR,1592773714
lao cai,22.48,103.95,79.72,73,100,1.45,VN,1592773715
muritiba,-12.92,-39.25,70.02,88,30,6.42,BR,1592773718
mocuba,-16.84,36.99,60.67,96,29,1.14,MZ,1592773719
waipawa,-41.41,175.52,53.01,93,100,5.82,NZ,1592773720
hervey bay,-25.3,152.85,61.0,89,73,5.99,AU,1592773477
rangapara,26.82,92.65,77.88,88,27,2.13,IN,1592773722
tiznit,29.58,-9.5,73.08,53,0,2.37,MA,1592773724
tuy hoa,13.08,109.3,77.83,87,66,4.63,VN,1592773725
at-bashi,41.17,75.81,50.34,41,0,2.06,KG,1592773726
channel-port aux basques,47.57,-59.14,49.28,86,87,15.52,CA,1592773727
maceio,-9.67,-35.74,77.0,69,20,6.93,BR,1592773728
dongli,23.57,116.82,82.4,88,40,4.47,CN,1592773730
rahuri,19.38,74.65,77.68,76,56,9.31,IN,1592773687
guaymas,27.93,-110.9,102.0,34,5,11.41,MX,1592773642
umm lajj,25.02,37.27,82.58,49,80,5.7,SA,1592773734
mutoko,-17.4,32.23,57.47,59,93,5.28,ZW,1592773735
norden,53.6,7.2,62.6,72,100,6.93,DE,1592773736
vizinga,61.07,50.1,41.61,90,20,4.16,RU,1592773737
tullow,52.8,-6.74,57.0,79,80,5.01,IE,1592773738
kenai,60.55,-151.26,62.01,48,20,10.29,US,1592773739
qui nhon,13.77,109.23,79.54,83,85,5.12,VN,1592773741
hamina,60.57,27.2,57.2,50,0,4.7,FI,1592773743
tual,-5.67,132.75,79.72,81,17,22.12,ID,1592773591
bambous virieux,-20.34,57.76,72.0,78,40,14.99,MU,1592773552
broome,42.25,-75.83,82.0,57,40,6.93,US,1592773748
sterling,39.01,-77.43,87.01,48,20,3.36,US,1592773749
kahului,20.89,-156.47,87.8,48,40,18.34,US,1592773485
mogadishu,2.04,45.34,79.3,80,99,21.07,SO,1592773512
vestmannaeyjar,63.44,-20.27,51.28,85,100,24.79,IS,1592773752
ratnagiri,16.98,73.3,81.27,81,99,5.23,IN,1592773753
tocopilla,-22.09,-70.2,66.7,56,38,7.36,CL,1592773755
snyder,32.72,-100.92,95.0,36,1,12.75,US,1592773756
kawalu,-7.38,108.21,71.94,91,97,0.96,ID,1592773757
patti,31.28,74.86,80.6,74,40,6.93,IN,1592773758
bonthe,7.53,-12.51,79.5,85,100,6.96,SL,1592773759
ewa beach,21.32,-158.01,84.2,58,75,10.29,US,1592773760
karwar,14.8,74.13,79.47,85,96,3.83,IN,1592773761
khatanga,71.97,102.5,60.71,59,86,12.08,RU,1592773762
azad shahr,34.79,48.57,58.01,48,0,6.29,IR,1592773763
garowe,8.41,48.48,86.65,40,100,20.09,SO,1592773764
san quintin,30.48,-115.95,70.14,67,0,16.58,MX,1592773765
erzin,36.96,36.2,73.99,88,0,2.3,TR,1592773561
agadez,19.75,10.25,85.21,12,0,1.92,NE,1592773768
xuddur,4.12,43.89,75.69,62,85,21.47,SO,1592773769
haines junction,60.75,-137.51,56.1,39,100,9.44,CA,1592773770
havoysund,71.0,24.66,48.2,70,20,8.05,NO,1592773771
walvis bay,-22.96,14.51,60.8,67,50,2.24,NA,1592773772
pevek,69.7,170.31,45.28,71,6,5.95,RU,1592773774
constitucion,-35.33,-72.42,53.53,77,57,3.96,CL,1592773775
lebanon,36.21,-86.29,77.0,94,75,12.59,US,1592773776
coahuayana,18.73,-103.68,86.0,62,40,7.07,MX,1592773778
narsaq,60.92,-46.05,60.8,41,100,6.93,GL,1592773781
souillac,-20.52,57.52,71.6,78,40,14.99,MU,1592773782
medea,36.26,2.75,71.6,68,0,4.7,DZ,1592773783
dunedin,-45.87,170.5,35.01,93,3,7.0,NZ,1592773658
ust-maya,60.42,134.53,56.86,57,92,6.22,RU,1592773785
nizhniy kuranakh,58.84,125.49,56.46,67,59,2.55,RU,1592773786
cedar rapids,42.01,-91.64,84.99,54,20,12.75,US,1592773648
yar-sale,66.83,70.83,42.35,84,100,13.24,RU,1592773788
wamba,8.93,8.6,73.81,91,95,2.77,NG,1592773790
outjo,-20.12,16.15,48.76,50,0,5.14,NA,1592773791
kathmandu,27.72,85.32,68.34,87,98,1.9,NP,1592773553
camana,-16.62,-72.71,64.65,71,65,8.61,PE,1592773793
hay river,60.82,-115.8,82.4,34,40,14.99,CA,1592773794
cabo rojo,18.09,-67.15,90.0,62,19,1.99,PR,1592773795
laguna,38.42,-121.42,95.0,29,1,5.82,US,1592773764
makakilo city,21.35,-158.09,84.2,58,75,10.29,US,1592773797
sayansk,54.11,102.16,55.44,77,39,3.56,RU,1592773798
nampula,-15.12,39.27,68.0,82,75,8.05,MZ,1592773799
pingliang,35.54,106.69,63.52,73,100,12.21,CN,1592773628
sao joao da barra,-21.64,-41.05,78.8,69,0,11.41,BR,1592773803
chimbote,-9.09,-78.58,67.03,73,36,11.7,PE,1592773804
maloy,61.94,5.11,60.8,87,40,8.05,NO,1592773805
ca mau,9.18,105.15,78.15,89,100,2.82,VN,1592773680
marawi,8.0,124.29,75.0,92,6,5.01,PH,1592773604
saint anthony,45.02,-93.22,84.2,45,40,6.93,US,1592773559
cape coast,5.11,-1.25,77.04,87,100,13.18,GH,1592773810
luau,-10.71,22.22,57.11,37,0,4.9,AO,1592773811
cubatao,-23.89,-46.43,82.99,54,9,5.82,BR,1592773812
nishihara,26.18,127.76,82.4,88,90,13.87,JP,1592773814
cabo san lucas,22.89,-109.91,87.8,42,5,9.17,MX,1592773586
hofn,64.25,-15.21,50.83,87,100,17.87,IS,1592773816
marrakesh,31.63,-8.01,84.2,39,20,9.17,MA,1592773817
mujiayingzi,42.12,118.78,66.92,78,100,3.06,CN,1592773818
zahnitkiv,48.04,28.9,64.0,91,40,5.3,UA,1592773819
kyren,51.68,102.14,55.81,76,100,0.56,RU,1592773820
payakumbuh,-0.22,100.63,70.27,91,99,3.15,ID,1592773821
moultonborough,43.75,-71.4,82.99,58,20,11.41,US,1592773594
azangaro,-14.92,-70.22,59.34,27,42,6.42,PE,1592773823
maniitsoq,65.42,-52.9,48.43,61,1,9.28,GL,1592773825
bagdarin,54.43,113.6,48.63,89,71,2.93,RU,1592773588
morondava,-20.28,44.28,72.09,80,0,9.33,MG,1592773626
penzance,50.12,-5.54,59.0,82,5,12.75,GB,1592773828
abu dhabi,24.47,54.37,89.6,66,0,5.82,AE,1592773633
lamballe,48.47,-2.51,57.0,86,8,6.87,FR,1592773830
saint-joseph,-21.37,55.62,66.2,82,20,4.7,RE,1592773831
deputatskiy,69.3,139.9,78.84,25,0,1.52,RU,1592773832
